word,weighted_prop,count
pimas,0.07053973791803168,0
waift,0.07620747770281609,0
fusee,0.08228572170020793,41659
supes,0.07526308471855445,60952
limby,0.16214189924317365,0
henry,0.0743954601263909,28769085
rugae,0.05342363980356263,0
teene,0.06403961763021324,0
wonts,0.05550409506943231,0
stude,0.044830197886441436,51128
ictal,0.06289598915488502,24270
renga,0.06370183384847608,46990
rises,0.04223429308962458,4124482
coria,0.05154248023114668,85418
knots,0.06070985673675164,2796342
mewed,0.12680354991744305,0
obols,0.09493341039868348,0
acton,0.0605447720512859,1309016
vibey,0.117843751343112,0
broch,0.0935306342195448,77996
goads,0.05292314675920759,49971
navvy,0.22949230743345359,18939
canal,0.10940960435121048,8278196
perms,0.06212357761463898,205764
moola,0.09505851497191922,34775
tifts,0.08975208663323153,0
filmi,0.20501110140348522,70954
hicks,0.10223416148399378,2503430
cames,0.044963354509339734,24794
goban,0.11156156099270415,0
blume,0.09842730694686248,421456
farce,0.0532798983834246,727546
puker,0.08164813373815558,0
fovea,0.07466754783385289,71302
didos,0.07898622230760136,0
licks,0.09636151305506464,1166907
ghats,0.056284249171649654,89465
torte,0.04237040756522163,157289
pails,0.04905748857952202,250638
kukri,0.15274706467169188,16200
pandy,0.1448305142752296,53890
paler,0.043122116161120605,152772
wyled,0.11218542534342046,0
tooth,0.11984485403239714,5551049
loopy,0.16053787210374723,263368
troke,0.04063861639285353,0
testy,0.07407464351205671,167487
bathe,0.051888570774429425,494252
exile,0.10062523848180713,2801261
meshy,0.08896190447878258,0
duets,0.04794837819871502,754275
scowl,0.07924117672590807,115386
nomos,0.09461818521029669,93498
decan,0.07010105652834232,18435
embay,0.14104501164655153,0
zambo,0.16679154979808247,15316
kusso,0.1445962886713593,0
latah,0.07877141551084689,96233
tardo,0.04106058862833204,0
manic,0.09620830206308052,1448525
saner,0.026697550318624252,84491
fiche,0.08901234861942704,837884
drent,0.04334355769571965,0
benis,0.052440732096476886,0
robes,0.037220475459318864,1600721
dryly,0.16036943353138966,96792
matey,0.06155340638083392,104596
sumac,0.08847683493732637,181045
yeggs,0.12432584113008191,0
trios,0.02856989832639126,389195
kophs,0.08816452488689616,0
defat,0.06160151820037786,0
nagas,0.09543960209672203,53165
dewar,0.060561363606211,454917
helve,0.10046162051928391,0
spoon,0.10323504896246898,4000406
dsomo,0.12745361498440688,0
unmix,0.2022257262295532,0
basan,0.10831643680836295,0
chaff,0.16956872660858227,294863
dikey,0.09723960859062605,0
nanas,0.10666514650392186,51563
every,0.14698806286711275,189325890
mezze,0.22799416885634988,25398
bhels,0.051833307255082436,0
gavel,0.07626067170009561,352668
bromo,0.13613897206729214,215016
gucky,0.2779757261425607,0
swoon,0.10622877782593082,248694
gorps,0.06374029155776,0
rybat,0.09116662663686083,0
kabar,0.13513195434997227,59750
borks,0.07488981231035165,0
docos,0.08967336244217287,0
recta,0.0393294259459207,82905
elpee,0.10688806470600636,0
meint,0.05576401362670277,13873
lytes,0.042089512698110815,0
parvo,0.08523229789582529,62369
toise,0.025620702095301588,0
tumpy,0.15951677264724654,0
timer,0.03913445234841017,7488669
ramis,0.04842025120069746,101376
nikah,0.09000802248488261,27512
coarb,0.062042883453382235,0
beths,0.05521335531658035,0
atocs,0.0397881470513574,0
cutty,0.1648446760648429,133995
akita,0.09703003642618058,440387
oaten,0.03355204568648273,192579
quern,0.0894471510803725,33075
unked,0.10646685519596638,0
varas,0.07572842971400649,50570
wrawl,0.10182966057381769,0
thuya,0.0988523287409698,17449
appal,0.20233240862802634,27269
tilts,0.05771363162837953,245809
beaty,0.07447092529316779,209357
sucre,0.04444474734944468,569392
zaxes,0.07863929761787211,0
shivs,0.11306747806155625,0
attar,0.09325222879443808,86729
vires,0.04182153556379466,86820
prang,0.0975411994427971,64943
veldt,0.07415215306592281,39718
draco,0.058387461679996644,688044
beast,0.0440762210711482,14787561
medle,0.09290490499530783,0
hiker,0.05443033018775148,676389
pushy,0.14426627542755494,255990
fuffy,0.45548308312999214,0
talcs,0.04176777397657382,0
pupus,0.21532626909539404,0
kevil,0.10903748340101285,18063
tansy,0.05809309852738814,77016
ashet,0.03376367825312427,0
hesps,0.08410436629500247,0
saola,0.057500979715707806,0
thong,0.08314818073053569,7747699
jelly,0.19598978437517614,3698541
blues,0.0566641205938024,23387172
tenno,0.061775969879493735,15372
reird,0.06558373703534978,0
geits,0.04009376559804561,0
tanas,0.054821889561031345,0
mutch,0.11758056324533608,106606
recon,0.05440522668220441,1955124
trots,0.04702315582760059,100981
jiggy,0.33949969215511233,141701
tarns,0.030401790723539792,0
acted,0.044390369508657074,4468180
ayelp,0.07811489518975133,0
gelid,0.0798882920989465,0
howso,0.117507994518653,0
wrang,0.09217779247385513,0
ploys,0.08642234473465699,69545
rayas,0.08047214419486656,0
burry,0.20469399487533332,88635
bunas,0.08417635013177932,0
scaud,0.07618459704400186,0
speer,0.05829208527583009,400248
ceded,0.12198424578519235,316917
noyed,0.07883283810725952,0
conga,0.08651171673101526,312319
soras,0.043417797266699414,19792
beret,0.059844680777415664,330199
teffs,0.08156488949112801,0
reate,0.03712151697172755,25955
emend,0.1250158808084616,47283
petit,0.07021857802444219,2120813
knell,0.11721045052478604,193672
ephod,0.08792108310377894,39569
lever,0.08008779803465639,3566558
limba,0.10870493328923328,245623
snail,0.043711569975253876,1580640
zoeae,0.06965726847615272,0
aizle,0.05721877767653819,0
tuple,0.05544340009663397,1376804
budas,0.09527585066835494,0
goldy,0.13311297124135144,101899
inion,0.1549673657164105,20026
puces,0.06462316371832612,43865
lemes,0.06320185245419485,0
lered,0.060218078502900674,0
rural,0.08516943531373138,30998929
carpi,0.07239129463560953,52249
signa,0.06924828418967226,233687
dints,0.053060698872426405,0
amice,0.054874896607899924,0
favas,0.13596209964789235,0
quich,0.17283139970488778,0
globs,0.08348903714690852,76001
laers,0.027421420872745884,0
devis,0.0647333538805827,66835
algae,0.07847963867926479,2068644
cajon,0.10647361990777693,655061
dozen,0.09208453548890384,9776227
outby,0.13596461275538804,0
mneme,0.13610704631770304,0
vizir,0.19049093866266617,0
whips,0.09418001330396175,885594
vendu,0.13331903260509073,0
likin,0.1561264640719831,22718
empty,0.11980621896149296,26206017
tizes,0.04495278499925563,0
ibrik,0.15766917165693822,0
force,0.05649889462100288,79199815
elven,0.11061053348530546,543019
ollav,0.12881186570921518,0
cocas,0.06718771210274314,0
turme,0.050071624826678617,0
smell,0.07527147172490775,6642666
mokes,0.056586254403540405,29259
spiry,0.07676373971740798,0
slays,0.09283183767189385,79674
copra,0.0670699617571419,95887
menge,0.12262785261837936,142639
yeast,0.04343049390779627,6083904
mirly,0.09553756313113894,0
ctene,0.05789452820454303,0
lythe,0.063265439395697,14340
jumps,0.19045963686341802,2793122
snugs,0.13974372946457755,0
caneh,0.04793764596279265,0
leaky,0.09827121331732944,650957
wulls,0.13459215579582312,0
quyte,0.1110930130200017,0
chela,0.05728361129565192,106929
stave,0.039335875588336754,363443
lilts,0.06358695346460129,0
happi,0.12549425594759073,48438
puppy,0.38281454765674905,6662287
torse,0.025450808598027366,0
scoff,0.1360874720638896,177728
naped,0.06297868753639857,49859
stage,0.03497015713842575,52518330
kotow,0.1509622406186139,0
spaws,0.1074779873083504,0
yrivd,0.13390789273008155,0
atomy,0.08143118287712336,0
annoy,0.13864484415188433,1497815
homas,0.052221790235097855,68844
rabid,0.07367591361452272,612676
short,0.041970378581938174,106755242
unwit,0.09977235672355994,0
firer,0.0751516963575093,26208
clomb,0.13477785057212258,0
couta,0.06310853338020103,0
gimel,0.07488578630927246,16276
momma,0.15375797621046264,1609120
gyres,0.05698249464933442,18626
mesal,0.05638078369154468,0
shams,0.08350489394656775,618299
chalk,0.10725580347304234,2498505
reach,0.04672115323129285,35687918
amber,0.06265520879684772,11065507
gamer,0.057626726810243396,3144985
pheon,0.07497561651872077,0
fuzee,0.16112864035850394,0
viced,0.08976758828579676,0
porky,0.13870216198228433,220042
sechs,0.07368195973706608,49108
abbes,0.06830777591194517,25330
yeven,0.14623981728249452,0
boart,0.045387643052873225,14110
ocean,0.05441681259244468,31928741
ankus,0.08605018430409098,0
merde,0.08409391394142984,86351
snafu,0.0852414744528361,239431
roric,0.07644135661091671,0
ducat,0.08121145506890333,39914
ralph,0.06846403027510457,12190683
duomo,0.19291187728414996,291121
rayon,0.07003555345937405,934490
owled,0.07617713494306162,0
hayer,0.05118796906604953,26443
crits,0.03871344471389886,78587
matza,0.16623661557670952,32856
ramin,0.06777967907267449,117848
