word	expected_entropy	frequency
eyrie	4.20217	57520
scabs	3.93783	122925
wetly	4.33402	23325
scary	4.69459	5571680
atilt	4.64819	0
herry	3.97554	22044
rudas	4.95591	0
weeke	3.09337	49698
unmet	4.69132	590631
homey	4.42799	233113
roked	4.84702	0
quits	4.38401	968086
spard	4.93048	0
quips	3.78684	224626
spare	5.5238	10009522
stoae	5.79422	0
tunes	5.46998	6610108
cooer	4.67956	0
joked	3.88624	454255
bonze	4.06771	0
urubu	2.54036	0
absit	4.81447	0
hunch	3.35983	327195
pungs	4.04572	0
navvy	2.90942	18939
kevil	4.08137	18063
mucho	3.85243	846045
torte	5.12418	157289
aruhe	5.16746	0
decko	4.09592	0
stout	4.43059	1939514
odder	4.29215	60826
enmew	3.5043	0
stoit	4.76798	0
spazz	3.12869	45477
fonts	4.90396	11884559
odals	5.1174	0
bokeh	4.33167	40320
odahs	4.88128	0
joker	4.20833	1492319
verso	4.86873	788583
nappy	3.15217	606925
abash	3.90728	0
decoy	4.14096	514956
khafs	4.22675	0
charm	4.63994	10554644
bonny	3.25821	438690
sighs	3.92694	564251
azide	4.45613	254983
kembs	4.07486	0
arrow	4.02842	11563142
sylph	4.0119	44120
beryl	4.31708	547615
porny	4.3563	12941
dozed	3.55769	91195
mange	4.67632	250483
filum	3.78725	0
piste	5.324	332028
recto	5.16504	184754
taped	5.16007	1534342
refit	4.9801	197564
hasta	4.36978	561700
sully	3.61202	458846
belon	4.58306	0
paven	4.49116	0
pepsi	4.03454	1933586
exurb	3.61649	0
lepid	4.70179	0
wared	5.04534	0
dozes	4.63942	17178
locos	4.27467	265108
islet	5.47237	488105
twerk	4.59336	0
dowds	3.78503	14201
tepas	5.47948	0
sopor	4.32836	16980
yuppy	1.8794	24901
cully	3.17117	121207
sault	5.32491	901099
snary	4.83993	0
algal	3.1078	510781
mebos	4.67241	0
zoris	4.70003	0
carse	5.63517	45840
foule	4.683	23875
karoo	3.9365	430707
sacra	4.46791	160174
ledum	4.29369	23585
sodom	3.91614	402032
heave	4.10583	296454
turds	5.06681	102668
bubbe	2.75155	24357
forge	4.71071	5226805
seles	4.25622	69906
axons	4.56064	385758
caron	5.0352	942813
moted	5.05433	18579
voles	5.08614	123980
soars	5.02827	465187
galop	4.29169	40586
dobes	5.03441	0
bouns	4.56303	0
wecht	4.34884	51439
axils	4.65411	29666
moten	5.16846	45477
comfy	3.49196	1245404
hillo	4.07085	0
trump	4.30167	2879094
borms	4.71324	0
imago	4.10675	307167
gains	5.00695	10137566
cleik	4.46898	0
cleek	3.8782	27852
abbed	3.88785	0
bubby	1.79377	52761
abhor	4.4569	169167
clean	4.9376	45381752
joint	4.46079	38827057
cheap	4.58887	97049762
hilly	3.5716	511265
scrob	4.55428	0
mongs	4.52151	0
huffs	3.30274	14876
topes	5.59476	14761
mohur	4.49244	0
lezza	3.38557	0
kindy	3.56782	42624
lynes	4.92453	44061
scoff	3.52736	177728
flite	4.9987	442097
tawed	5.0333	0
trier	5.06752	663496
dynel	4.43156	0
bisom	4.25689	0
offer	3.89475	126228968
podge	4.50327	110852
argan	3.96768	26269
wayed	4.3391	0
sowce	4.96729	0
sneed	4.63963	164701
burqa	3.48991	59931
adieu	4.86988	274747
holla	4.16435	565475
drier	4.61046	679179
altos	5.41131	1143776
gotta	4.18054	6870320
asset	4.93862	18178753
sayon	4.71042	0
bemas	4.82564	0
maiks	4.6133	0
kydst	3.88607	0
kudos	4.21108	1589906
tikes	5.33728	696108
beaux	3.80218	425302
whirr	3.88936	26124
mungs	4.05331	0
split	5.01603	19998411
autos	5.16058	9798008
whift	4.05142	0
whiny	3.8226	225341
smore	5.41775	0
condo	3.74265	6444848
sweet	4.69756	32311923
hives	4.90942	922837
docks	4.28286	1534076
sages	4.77286	624245
frith	4.60296	584571
segar	5.37304	45150
wires	5.38405	5401677
qubit	3.55156	225029
caged	4.76209	511070
glint	4.65081	272373
imbar	4.32443	0
zinco	3.72318	43694
pudsy	3.72487	32587
bomas	4.62085	0
cages	5.24798	1943021
kerky	3.387	0
steep	4.6366	3399504
amber	4.75835	11065507
gobby	2.81897	38152
snore	5.65551	294125
fazes	4.39899	0
vinas	4.66871	31188
ceili	4.23053	82339
fined	4.5361	1620321
prana	4.05799	446960
vinew	4.1865	0
pixie	3.51453	1037554
ympes	4.30713	0
final	4.39729	97649084
ofays	4.2742	0
orlon	4.12041	0
finer	4.8287	1455912
grize	4.29713	0
fines	4.99565	3270544
rebop	4.41284	0
taira	4.83328	63794
grots	5.31216	0
ilium	3.51775	95618
vibey	3.80797	0
owrie	4.9521	0
daric	4.8037	17063
coxed	4.29088	32256
grody	4.12004	14446
fuses	4.03772	984514
flags	4.47903	14870655
scaws	3.95468	0
guest	4.90698	55293215
cooze	3.62932	0
palas	4.2723	73010
weete	3.77995	0
wanks	4.29227	24708
vaped	4.36087	0
solar	5.53017	20423792
thewy	4.22416	0
helio	4.92007	249588
murry	3.28347	209712
solas	4.74616	225662
pilaw	4.21235	0
colic	4.01403	475478
leirs	5.69593	0
yucko	3.28124	0
gorms	4.80473	0
eidos	5.12867	538029
tutty	2.89636	14203
hoghs	3.9129	0
stove	5.0973	3914849
movie	4.50929	158421100
techy	4.35786	181185
indie	4.16521	7722085
jotas	4.786	0
slack	4.52054	1954286
tunny	3.50244	37154
slaws	4.2154	0
coles	5.50594	1034873
sabal	4.09439	81783
fuddy	2.51575	46030
punty	3.84379	0
defat	4.71241	0
shags	4.24337	41829
ditty	3.66719	281979
erugo	4.566	0
libri	3.75729	498310
rajas	3.91375	44879
clach	3.87522	16123
poori	4.01085	0
smash	4.10371	3192001
mopsy	4.04107	0
poupt	3.79879	0
cahow	4.18261	0
chaco	4.0037	467915
gemel	3.94933	0
pouty	4.12094	69818
octyl	4.13956	178952
edema	3.80203	873634
octan	4.73465	17041
belle	3.47148	5820002
fards	4.77608	61736
sylis	3.99287	0
elven	3.7877	543019
dowie	4.74877	52916
fuzil	3.30968	0
poley	4.61963	30396
beige	3.913	4288534
howso	3.74654	0
arcos	5.22277	151492
tamed	5.18779	239956
unwon	3.15099	0
plonk	4.05401	114698
bells	4.2754	4743841
koppa	3.2762	0
drest	5.43848	13039
grama	3.74532	100793
oucht	4.33852	0
ficos	4.45163	0
alapa	3.09491	0
dobra	4.58251	295948
graal	4.10364	135956
sitka	4.85932	578381
gramp	4.14382	27822
zooms	3.37033	377094
kophs	4.25481	0
ascot	4.93349	888745
carpi	4.55078	52249
teams	5.51936	34383288
dured	4.21355	0
demes	4.34082	12972
crags	5.0136	170586
picra	4.54086	0
durum	3.33912	192040
shent	5.36878	0
glede	4.09293	0
dagos	4.81305	0
pulus	3.7307	0
kaiak	3.03341	0
hurst	4.92529	1509915
slebs	4.35437	0
fouet	4.82867	0
prude	4.63216	93351
audad	3.01824	0
winks	4.15719	422977
daggy	3.10986	0
prone	5.16463	3001079
getup	4.26865	23481
flued	4.31442	0
stash	4.50733	1553737
smerk	4.68478	0
audit	4.7423	20786243
boomy	3.01809	20346
marka	3.59883	93624
suses	3.88027	0
skosh	3.87802	0
crwth	4.27551	0
neper	4.28386	0
mixen	4.16098	0
nepit	4.90867	0
drive	4.70589	107799371
gumma	3.08899	22711
flied	4.69848	858118
hoxed	4.29908	0
floor	3.86132	53759851
video	4.41408	365410017
sowth	4.77196	0
redon	4.96619	69010
tanga	3.9985	265576
marcs	5.03636	50472
latah	4.32889	96233
titer	4.95621	258055
sotol	4.62354	0
skims	3.65799	45654
dribs	4.73805	0
bajus	3.79818	0
cozed	4.22647	0
aptly	4.26045	598371
sposh	4.04459	0
teeth	3.90729	9769437
slums	3.90928	463980
baghs	4.31215	0
maids	4.91404	1253811
bight	4.02413	253016
dwine	4.55752	0
burrs	3.95662	138116
burns	4.58276	9460104
which	3.36244	810514085
pinas	4.94444	88603
gonof	3.24104	0
spoor	4.28807	131836
oaves	5.07608	0
spiel	5.31489	811922
tusks	3.84559	135636
wadge	4.4583	13839
qorma	4.0435	0
buiks	4.06965	0
chook	3.40371	55330
vaire	5.18448	0
gasps	3.85943	203961
mouth	4.49789	22880351
abram	3.55918	610831
varas	4.25857	50570
campi	4.01355	140537
boyfs	3.83174	0
caput	4.48057	105633
disco	4.57204	7067687
lyric	4.24321	6970278
sadis	4.58497	12774
stend	5.24966	0
abray	3.4517	13971
wulls	3.70584	0
lotic	4.92011	18432
capex	4.15196	200971
pyros	4.48847	85806
ninja	3.13579	4439780
friar	4.06399	422181
briss	4.25022	61956
arked	4.93355	0
huger	4.66124	59310
moony	3.45985	68559
roary	4.17225	0
lying	3.84855	8260845
lowry	4.22172	1271991
trayf	4.43603	0
rends	5.17175	44455
mayos	4.51859	0
gilly	3.3426	171141
boart	5.18294	14110
hyles	4.84374	27756
cynic	3.17631	525906
poney	4.53981	30601
kecks	3.70507	0
umphs	3.94246	0
fitly	4.06923	39568
eisel	4.72476	18365
crues	5.3465	0
fakes	4.70733	1833800
extra	4.56889	59377307
crock	3.6471	918524
blaff	3.15329	0
perps	4.41207	32564
aping	4.15943	42534
thelf	4.67672	0
blank	3.99171	18150537
groat	5.15177	94121
sorts	5.02734	6005834
busts	3.82248	710437
grigs	4.17441	0
sooks	3.38184	0
grisy	4.37221	0
askew	4.43301	473664
quirk	3.5545	444069
unsex	4.12902	0
wolds	4.58996	81225
scaly	4.56801	272847
muons	4.66829	199181
laced	5.0197	790357
tacan	4.20448	31613
murky	3.45794	532036
sabra	4.22176	174408
canna	3.21081	586192
cooch	3.21978	50051
mules	4.98346	907690
dells	4.44469	560024
socko	3.6503	13096
amine	5.03584	689951
sakes	4.57891	221028
lungi	3.96921	19705
decad	4.03409	0
piend	4.73045	0
wisps	3.64952	193038
lacer	5.33603	33587
gants	5.07929	53220
lacet	5.40736	0
dwams	4.32736	0
stied	5.5387	0
stoss	3.94038	0
ghazi	3.61608	241650
decan	4.71705	18435
touch	4.61194	36831035
viold	4.31811	0
gandy	3.88516	227271
daffy	2.88516	268813
simps	3.84352	0
namer	5.15079	103097
cakes	5.03231	5565500
yitie	4.30078	0
anode	5.12623	768949
cocco	2.32813	68176
upsee	4.17344	0
bonds	4.57525	15431252
acmic	3.48428	0
cocky	2.94195	358614
ports	5.33615	19171802
chals	5.12952	0
brank	4.23248	25065
barge	4.8523	1319916
yetis	5.14524	0
pygal	3.691	0
nobby	3.03662	118253
lymes	4.67545	0
match	4.51079	53532481
mened	4.08914	0
felon	4.49638	392714
prent	5.10366	49319
neifs	4.87308	0
jails	4.72766	731402
curls	4.90542	717837
unzip	3.21356	1014009
almug	3.99321	0
plums	4.23123	496751
fiche	4.33304	837884
cides	5.25348	65521
again	3.82374	150781416
pocks	4.1659	0
music	4.15892	414028837
levin	4.48339	2202321
pipul	3.55873	0
nutty	3.41873	686428
wersh	4.86121	0
junto	3.89735	128329
serac	5.48838	43796
fifer	4.06217	41451
fifes	4.23692	21173
gully	2.99086	800734
padma	3.35739	197103
rubli	4.12487	0
style	5.09435	101024266
thigs	4.90548	13587
crape	5.13392	76001
nukes	4.64784	764161
leaze	4.00664	0
funny	2.69404	34281806
intis	4.40097	0
kauru	3.63155	0
grans	5.1153	44562
vatus	4.6712	0
copal	4.58223	85911
apays	3.70306	0
gault	4.70419	215308
durzi	3.60837	0
nouny	3.38939	0
natal	4.27999	3010028
hurls	4.90493	63654
imaum	3.49219	0
heals	5.51042	666561
troad	5.3453	0
rabic	4.45923	0
breme	4.08746	0
monal	4.69859	0
prowl	4.36075	343421
gleet	4.49197	0
resin	5.26554	4966700
picot	4.56496	105908
scurf	4.19858	13478
prime	4.84398	38308402
ebbet	3.34811	0
reses	4.25651	0
smews	3.98063	0
scrum	4.3381	425870
tetra	4.92984	863969
yarns	4.96418	1211638
skrik	3.9282	0
marle	5.35579	36938
trigs	5.23721	0
primp	3.52974	55497
kibbi	2.10222	0
fisks	3.39681	0
otary	4.85685	0
basis	4.18573	59901425
scops	3.97125	39159
douse	5.10421	82837
sneck	4.48428	0
burke	4.21699	5646090
skody	3.95805	0
alter	5.64267	7831337
panni	3.75425	17978
mardy	4.21961	59107
tabla	4.03729	420412
spurt	4.86301	325911
semie	4.66666	0
sokah	4.75105	0
burks	4.10876	290057
peece	3.51124	0
clung	3.89622	365864
tahrs	5.48678	0
spiff	3.35259	74236
shots	4.65139	19611119
chota	4.86497	31788
micos	4.67403	0
beaks	4.6547	145800
dolts	5.2104	28809
chunk	3.73589	2371231
takky	3.40402	0
badly	3.93571	5290145
aboma	3.37506	0
doomy	3.25269	24436
whids	4.4624	0
dolly	3.55688	2266400
shins	4.41455	362796
urned	4.8788	0
aboil	4.51465	0
limbi	3.22838	0
kamis	4.54712	0
chops	4.59675	1312600
kames	4.9018	61731
caman	3.71322	0
brith	4.70769	73335
siris	4.01327	53304
jomos	3.35222	0
sires	5.15067	286232
chivs	4.38421	0
cames	5.2533	24794
smirk	4.47801	403780
chizz	2.90755	0
limby	3.63633	0
emery	3.68568	1251050
britt	4.20989	984387
ambos	4.41681	104687
umpie	4.29751	0
rieve	4.28699	0
fetal	4.8611	3127968
bazar	3.24174	365968
bezes	3.6196	0
baton	4.66466	4229776
gilet	5.17024	84043
urbex	3.93156	0
grove	4.62404	15189493
snots	4.71556	0
would	4.12555	572644147
boast	5.14149	1239080
evert	4.13988	249660
agist	4.99911	0
guqin	3.30921	0
fanks	4.23418	0
perai	5.01268	0
pirai	4.01552	0
ribas	4.96449	123653
pareo	5.2737	44508
paire	5.43913	27597
palki	4.0866	0
voted	4.7592	10746027
parer	4.6124	38034
pares	5.62738	136717
scaup	4.4173	89357
tuque	3.56462	17083
babel	4.16263	1047472
blaws	4.42449	0
coria	5.00867	85418
unpin	3.32602	0
sores	5.22638	1024935
twank	4.2436	0
unpen	3.67533	0
swing	4.17699	12734467
taler	5.78091	42377
tiler	5.61875	59950
soras	4.95221	19792
talar	4.76007	34181
shmek	4.60068	0
vuggy	2.23413	0
heres	4.975	978028
hodad	3.99759	0
fumer	4.27446	16052
equip	3.53592	4044391
stria	5.43572	40045
amuck	3.64921	70822
gazar	3.33282	0
cours	5.05872	1138194
moyle	4.63428	166237
rapid	4.70165	19070672
stunk	4.40216	76458
pacts	4.95723	190899
amiga	3.4719	2201683
yucas	4.27457	0
haint	5.09372	0
rhime	4.96948	0
botch	4.33438	92410
coopt	3.98481	0
goles	5.36171	0
canon	4.05204	41144763
pukus	3.21804	0
spays	3.74378	0
chaya	3.44567	83961
seels	4.26902	0
cooly	3.70943	60526
stiff	3.86452	3492842
torse	5.91403	0
puker	4.28115	0
shams	4.27075	618299
evoke	3.44229	804417
dunts	4.74553	0
decry	4.33671	203238
oxlip	3.71871	0
typos	4.49602	1067335
boner	5.06613	301402
syrah	4.77531	480410
poral	4.96085	34824
loxes	4.95777	0
poind	4.52269	0
fella	3.92956	639391
treys	5.29922	38021
poopy	2.58902	182153
ariot	5.36169	0
trees	5.32375	27378116
pyats	4.66934	0
meths	5.02026	23887
arcus	4.95744	129194
rifty	4.16076	0
wrawl	3.93672	0
ricks	4.49926	305248
dhuti	4.37645	0
feist	5.12309	351412
curet	5.23489	0
coyed	4.56183	0
thoft	3.84321	0
vouge	4.18356	26261
drees	4.88952	74159
bilby	3.11127	56263
hokum	3.73137	57068
tween	4.333	977071
roosa	4.60431	29266
grace	5.15329	17642126
cuifs	4.29652	0
hasks	3.92785	0
osmol	3.77977	0
ruers	4.6458	0
where	4.28672	360468339
wards	4.87154	1759766
knaur	4.38746	0
saiga	4.21905	45727
rouen	5.20551	437498
krait	5.00744	14590
shelf	4.80232	11287023
luxer	4.35494	0
karns	4.97267	79709
noise	5.49694	25171520
puris	4.81035	0
dirge	4.92999	384505
leges	4.54907	65556
jubes	4.06113	0
vesta	4.91204	395855
dulia	4.41015	0
galvo	4.09404	0
imari	3.91998	105569
leaks	5.11711	2214133
kitul	4.34024	0
degas	5.02482	454377
laddy	3.54014	16174
carny	4.55521	42572
tynde	4.60044	0
posse	4.53191	1038358
hoyed	4.55829	0
nabla	3.65009	37393
ketes	4.54446	0
icily	3.35426	21127
repeg	4.00674	0
mauve	4.31899	589931
jocos	3.43063	0
nests	4.70011	1141883
focus	4.29487	65626732
adult	4.62098	97583096
prink	4.15197	0
ousel	5.1134	0
proxy	3.55273	10773043
faver	4.50337	13674
malwa	3.40154	24347
reate	5.18656	25955
araba	3.24182	85785
blown	3.94958	4229918
blues	4.90277	23387172
marah	4.12284	135233
bloop	3.33829	33990
jaded	3.6436	576218
houri	4.68511	0
fadge	4.38405	0
twill	4.00299	1489583
toddy	3.71774	131875
pance	4.86701	0
shuck	4.03285	116293
peter	4.61015	59541743
shoed	5.32354	27509
henge	4.00489	130779
furzy	2.85527	0
ahead	4.33247	28375319
fears	5.31726	6244239
saver	5.29332	10258158
byrls	4.33075	0
doors	4.58239	20229491
gowls	4.52924	0
queue	2.73612	7398569
pinky	3.47692	672775
machs	4.59889	0
rucks	4.17744	37438
awarn	3.96496	0
detox	4.26191	2297343
kwela	4.21939	0
valid	4.31069	57094711
teeny	4.22244	750932
abuts	4.6903	106431
denar	5.22388	55863
expat	4.14664	2324561
cohab	4.26143	0
caves	5.03599	2355316
kerve	3.6549	0
fyces	4.2183	0
denay	4.49934	0
bucku	2.39738	0
mooli	3.93303	0
mount	4.61809	36648260
jawed	4.00784	139535
rewan	4.83327	0
